"Topic","Talk","Speaker","Date","URL"
"agency","Decisions for Eternity","Russell M. Nelson","October 2013","https://www.lds.org/general-conference/2013/10/decisions-for-eternity?lang=eng"
"agency","These Things I Know","Boyd K. Packer","April 2013","https://www.lds.org/general-conference/2013/04/these-things-i-know?lang=eng"
"agency","Obedience to Law Is Liberty","L. Tom Perry","April 2013","https://www.lds.org/general-conference/2013/04/obedience-to-law-is-liberty?lang=eng"
"agency","Be Valiant in Courage, Strength, and Activity","Gary E. Stevenson","October 2012","https://www.lds.org/general-conference/2012/10/be-valiant-in-courage-strength-and-activity?lang=eng"
"agency","Abide in the Lord’s Territory!","Ulisses Soares","April 2012","https://www.lds.org/general-conference/2012/04/abide-in-the-lords-territory?lang=eng"
"agency","Choose Eternal Life","Randall K. Bennett","October 2011","https://www.lds.org/general-conference/2011/10/choose-eternal-life?lang=eng"
"agency","Desire","Dallin H. Oaks","April 2011","https://www.lds.org/general-conference/2011/04/desire?lang=eng"
"agency","The Three Rs of Choice","Thomas S. Monson","October 2010","https://www.lds.org/general-conference/2010/10/the-three-rs-of-choice?lang=eng"
"agency","Faith—the Choice is Yours","Richard C. Edgley","October 2010","https://www.lds.org/general-conference/2010/10/faith-the-choice-is-yours?lang=eng"
"agency","Let There Be Light!","Quentin L. Cook","October 2010","https://www.lds.org/general-conference/2010/10/let-there-be-light?lang=eng"
"agency","Cleansing the Inner Vessel","Boyd K. Packer","October 2010","https://www.lds.org/general-conference/2010/10/cleansing-the-inner-vessel?lang=eng"
"agency","Agency: Essential to the Plan of Life","Robert D. Hales","October 2010","https://www.lds.org/general-conference/2010/10/agency-essential-to-the-plan-of-life?lang=eng"
"agency","Moral Discipline","D. Todd Christofferson","October 2009","https://www.lds.org/general-conference/2009/10/moral-discipline?lang=eng"
"agency","Gifts to Help Us Navigate Our Life","José A. Teixeira","April 2009","https://www.lds.org/general-conference/2009/04/gifts-to-help-us-navigate-our-life?lang=eng"
"agency","Who’s on the Lord’s Side?","Charles W. Dahlquist II","April 2007","https://www.lds.org/general-conference/2007/04/whos-on-the-lords-side?lang=eng"
"agency","To the Aaronic Priesthood: Preparing for the Decade of Decision","Robert D. Hales","April 2007","https://www.lds.org/general-conference/2007/04/to-the-aaronic-priesthood-preparing-for-the-decade-of-decision?lang=eng"
"agency","And Nothing Shall Offend Them","David A. Bednar","October 2006","https://www.lds.org/general-conference/2006/10/and-nothing-shall-offend-them?lang=eng"
"agency","The Gift of Agency","Wolfgang H. Paul","April 2006","https://www.lds.org/general-conference/2006/04/the-gift-of-agency?lang=eng"
"agency","Seek Ye the Kingdom of God","Gordon B. Hinckley","April 2006","https://www.lds.org/general-conference/2006/04/seek-ye-the-kingdom-of-god?lang=eng"
"agency","To Act for Ourselves: The Gift and Blessings of Agency","Robert D. Hales","April 2006","https://www.lds.org/general-conference/2006/04/to-act-for-ourselves-the-gift-and-blessings-of-agency?lang=eng"
"agency","Truth Restored","Richard G. Scott","October 2005","https://www.lds.org/general-conference/2005/10/truth-restored?lang=eng"
"agency","Knowing the Lord’s Will for You","Anne C. Pingree","October 2005","https://www.lds.org/general-conference/2005/10/knowing-the-lords-will-for-you?lang=eng"
"agency","Christlike Attributes—the Wind beneath Our Wings","Dieter F. Uchtdorf","October 2005","https://www.lds.org/general-conference/2005/10/christlike-attributes-the-wind-beneath-our-wings?lang=eng"
"agency","True Happiness: A Conscious Decision","Benjamín De Hoyos","October 2005","https://www.lds.org/general-conference/2005/10/true-happiness-a-conscious-decision?lang=eng"
"agency","Journey to Higher Ground","Joseph B. Wirthlin","October 2005","https://www.lds.org/general-conference/2005/10/journey-to-higher-ground?lang=eng"
"agency","Beware of the Evil behind the Smiling Eyes","Neil L. Andersen","April 2005","https://www.lds.org/general-conference/2005/04/beware-of-the-evil-behind-the-smiling-eyes?lang=eng"
"agency","Now Is the Time to Prepare","Russell M. Nelson","April 2005","https://www.lds.org/general-conference/2005/04/now-is-the-time-to-prepare?lang=eng"
"agency","“I Stand at the Door, and Knock”","Ronald T. Halverson","October 2004","https://www.lds.org/general-conference/2004/10/i-stand-at-the-door-and-knock?lang=eng"
"agency","Choose You This Day","Thomas S. Monson","October 2004","https://www.lds.org/general-conference/2004/10/choose-you-this-day?lang=eng"
"agency","But If Not …","Dennis E. Simmons","April 2004","https://www.lds.org/general-conference/2004/04/but-if-not?lang=eng"
"angels","What Every Aaronic Priesthood Holder Needs to Understand","Douglas D. Holmes","April 2018","https://www.lds.org/general-conference/2018/04/what-every-aaronic-priesthood-holder-needs-to-understand?lang=eng"
"angels","O Ye That Embark","Henry B. Eyring","October 2008","https://www.lds.org/general-conference/2008/10/o-ye-that-embark?lang=eng"
"angels","The Ministry of Angels","Jeffrey R. Holland","October 2008","https://www.lds.org/general-conference/2008/10/the-ministry-of-angels?lang=eng"
"angels","The Covenant of Baptism: To Be in the Kingdom and of the Kingdom","Robert D. Hales","October 2000","https://www.lds.org/general-conference/2000/10/the-covenant-of-baptism-to-be-in-the-kingdom-and-of-the-kingdom?lang=eng"
"angels","The Aaronic Priesthood and the Sacrament","Dallin H. Oaks","October 1998","https://www.lds.org/general-conference/1998/10/the-aaronic-priesthood-and-the-sacrament?lang=eng"
"angels","“By What Power … Have Ye Done This?”","James E. Faust","October 1998","https://www.lds.org/general-conference/1998/10/by-what-power-have-ye-done-this?lang=eng"
"angels","The Twelve Apostles","Boyd K. Packer","October 1996","https://www.lds.org/general-conference/1996/10/the-twelve-apostles?lang=eng"
"angels","The Angel Moroni Came!","Mark E. Petersen","October 1983","https://www.lds.org/general-conference/1983/10/the-angel-moroni-came?lang=eng"
"anger","School Thy Feelings, O My Brother","Thomas S. Monson","October 2009","https://www.lds.org/general-conference/2009/10/school-thy-feelings-o-my-brother?lang=eng"
"anger","Slow to Anger","Gordon B. Hinckley","October 2007","https://www.lds.org/general-conference/2007/10/slow-to-anger?lang=eng"
"anger","Forgiveness Will Change Bitterness to Love","David E. Sorensen","April 2003","https://www.lds.org/general-conference/2003/04/forgiveness-will-change-bitterness-to-love?lang=eng"
"anger","Reaching Down to Lift Another","Gordon B. Hinckley","October 2001","https://www.lds.org/general-conference/2001/10/reaching-down-to-lift-another?lang=eng"
"anger","Keep an Eternal Perspective","Jay E. Jensen","April 2000","https://www.lds.org/general-conference/2000/04/keep-an-eternal-perspective?lang=eng"
"anger","Our Legacy","Stephen B. Oveson","October 1999","https://www.lds.org/general-conference/1999/10/our-legacy?lang=eng"
"anger","Strengthening Families: Our Sacred Duty","Robert D. Hales","April 1999","https://www.lds.org/general-conference/1999/04/strengthening-families-our-sacred-duty?lang=eng"
"anger","Agency and Anger","Lynn G. Robbins","April 1998","https://www.lds.org/general-conference/1998/04/agency-and-anger?lang=eng"
"anger","Living Worthy of the Girl You Will Someday Marry","Gordon B. Hinckley","April 1998","https://www.lds.org/general-conference/1998/04/living-worthy-of-the-girl-you-will-someday-marry?lang=eng"
"anger","Be Slow to Anger","ElRay L. Christiansen","April 1971","https://www.lds.org/general-conference/1971/04/be-slow-to-anger?lang=eng"
"animals","Fundamental Principles to Ponder and Live","Spencer W. Kimball","October 1978","https://www.lds.org/general-conference/1978/10/fundamental-principles-to-ponder-and-live?lang=eng"
"apostasy","Stay in the Boat and Hold On!","M. Russell Ballard","October 2014","https://www.lds.org/general-conference/2014/10/stay-in-the-boat-and-hold-on?lang=eng"
"apostasy","The Gathering of Scattered Israel","Russell M. Nelson","October 2006","https://www.lds.org/general-conference/2006/10/the-gathering-of-scattered-israel?lang=eng"
"apostasy","The Restoration of All Things","James E. Faust","April 2006","https://www.lds.org/general-conference/2006/04/the-restoration-of-all-things?lang=eng"
"apostasy","Truth Restored","Richard G. Scott","October 2005","https://www.lds.org/general-conference/2005/10/truth-restored?lang=eng"
"apostasy","Called and Chosen","James E. Faust","October 2005","https://www.lds.org/general-conference/2005/10/called-and-chosen?lang=eng"
"apostasy","Preparations for the Restoration and the Second Coming: “My Hand Shall Be over Thee”","Robert D. Hales","October 2005","https://www.lds.org/general-conference/2005/10/preparations-for-the-restoration-and-the-second-coming-my-hand-shall-be-over-thee?lang=eng"
"apostasy","A Brief Introduction to the Church","John B. Dickson","April 2000","https://www.lds.org/general-conference/2000/04/a-brief-introduction-to-the-church?lang=eng"
"apostasy","“How Is It with Us?”","M. Russell Ballard","April 2000","https://www.lds.org/general-conference/2000/04/how-is-it-with-us?lang=eng"
"apostasy","The Cloven Tongues of Fire","Boyd K. Packer","April 2000","https://www.lds.org/general-conference/2000/04/the-cloven-tongues-of-fire?lang=eng"
"apostasy","At the Summit of the Ages","Gordon B. Hinckley","October 1999","https://www.lds.org/general-conference/1999/10/at-the-summit-of-the-ages?lang=eng"
"apostasy","“That Spirit Which Leadeth to Do Good”","L. Tom Perry","April 1997","https://www.lds.org/general-conference/1997/04/that-spirit-which-leadeth-to-do-good?lang=eng"
"apostasy","They Showed the Way","Thomas S. Monson","April 1997","https://www.lds.org/general-conference/1997/04/they-showed-the-way?lang=eng"
"apostasy","The Prophetic Voice","James E. Faust","April 1996","https://www.lds.org/general-conference/1996/04/the-prophetic-voice?lang=eng"
"apostasy","Our Message to the World","Robert E. Wells","October 1995","https://www.lds.org/general-conference/1995/10/our-message-to-the-world?lang=eng"
"apostasy","Blessings of the Priesthood","Robert D. Hales","October 1995","https://www.lds.org/general-conference/1995/10/blessings-of-the-priesthood?lang=eng"
"apostasy","The Revelations of Heaven","L. Aldin Porter","October 1994","https://www.lds.org/general-conference/1994/10/the-revelations-of-heaven?lang=eng"
"apostasy","Restored Truth","M. Russell Ballard","October 1994","https://www.lds.org/general-conference/1994/10/restored-truth?lang=eng"
"apostasy","Trying to Be Like Jesus","F. Melvin Hammond","April 1994","https://www.lds.org/general-conference/1994/04/trying-to-be-like-jesus?lang=eng"
"apostasy","Keeping Covenants and Honoring the Priesthood","James E. Faust","October 1993","https://www.lds.org/general-conference/1993/10/keeping-covenants-and-honoring-the-priesthood?lang=eng"
"apostasy","“From the Beginning”","Neal A. Maxwell","October 1993","https://www.lds.org/general-conference/1993/10/from-the-beginning?lang=eng"
"apostasy","Opposition to the Work of God","Carlos E. Asay","October 1981","https://www.lds.org/general-conference/1981/10/opposition-to-the-work-of-god?lang=eng"
"apostasy","Signs of the True Church","Mark E. Petersen","April 1979","https://www.lds.org/general-conference/1979/04/signs-of-the-true-church?lang=eng"
"apostasy","“The Morning Breaks; the Shadows Flee”","Bruce R. McConkie","April 1978","https://www.lds.org/general-conference/1978/04/the-morning-breaks-the-shadows-flee?lang=eng"
"apostasy","Once or Twice in a Thousand Years","Bruce R. McConkie","October 1975","https://www.lds.org/general-conference/1975/10/once-or-twice-in-a-thousand-years?lang=eng"
"apostasy","The Way Home","Thomas S. Monson","April 1975","https://www.lds.org/general-conference/1975/04/the-way-home?lang=eng"
"apostasy","One Lord, One Faith, One Baptism","LeGrand Richards","April 1975","https://www.lds.org/general-conference/1975/04/one-lord-one-faith-one-baptism?lang=eng"
"apostasy","Salvation Comes through the Church","Mark E. Petersen","April 1973","https://www.lds.org/general-conference/1973/04/salvation-comes-through-the-church?lang=eng"
"Articles of Faith","The Doctrines and Principles Contained in the Articles of Faith","L. Tom Perry","October 2013","https://www.lds.org/general-conference/2013/10/the-doctrines-and-principles-contained-in-the-articles-of-faith?lang=eng"
"Articles of Faith","Roots and Branches","Russell M. Nelson","April 2004","https://www.lds.org/general-conference/2004/04/roots-and-branches?lang=eng"
"Articles of Faith","The Articles of Faith","L. Tom Perry","April 1998","https://www.lds.org/general-conference/1998/04/the-articles-of-faith?lang=eng"
"Articles of Faith","The Privilege of Holding the Priesthood","Spencer W. Kimball","October 1975","https://www.lds.org/general-conference/1975/10/the-privilege-of-holding-the-priesthood?lang=eng"
"Articles of Faith","Laying a Foundation for the Millennium","LeGrand Richards","October 1971","https://www.lds.org/general-conference/1971/10/laying-a-foundation-for-the-millennium?lang=eng"
"athletics","Don’t Drop the Ball","Gordon B. Hinckley","October 1994","https://www.lds.org/general-conference/1994/10/don-t-drop-the-ball?lang=eng"
"athletics","Goal beyond Victory","Thomas S. Monson","October 1988","https://www.lds.org/general-conference/1988/10/goal-beyond-victory?lang=eng"
"Atonement","Saving Ordinances Will Bring Us Marvelous Light","Taniela B. Wakolo","April 2018","https://www.lds.org/general-conference/2018/04/saving-ordinances-will-bring-us-marvelous-light?lang=eng"
"Atonement","Pure Love: The True Sign of Every True Disciple of Jesus Christ","Massimo De Feo","April 2018","https://www.lds.org/general-conference/2018/04/pure-love-the-true-sign-of-every-true-disciple-of-jesus-christ?lang=eng"
"Atonement","Christ the Lord Is Risen Today","Gerrit W. Gong","April 2018","https://www.lds.org/general-conference/2018/04/christ-the-lord-is-risen-today?lang=eng"
