"Topic","Talk","Speaker","Date","URL"
"adversity","His Spirit to Be with You","Henry B. Eyring","April 2018","https://www.lds.org/general-conference/2018/04/his-spirit-to-be-with-you?lang=eng"
"adversity","Am I a Child of God?","Brian K. Taylor","April 2018","https://www.lds.org/general-conference/2018/04/am-i-a-child-of-god?lang=eng"
"adversity","Behold the Man!","Dieter F. Uchtdorf","April 2018","https://www.lds.org/general-conference/2018/04/behold-the-man?lang=eng"
"adversity","Has the Day of Miracles Ceased?","Donald L. Hallstrom","October 2017","https://www.lds.org/general-conference/2017/10/has-the-day-of-miracles-ceased?lang=eng"
"adversity","Lord, Wilt Thou Cause That My Eyes May Be Opened","W. Craig Zwick","October 2017","https://www.lds.org/general-conference/2017/10/lord-wilt-thou-cause-that-my-eyes-may-be-opened?lang=eng"
"adversity","Turn to the Lord","W. Christopher Waddell","October 2017","https://www.lds.org/general-conference/2017/10/turn-to-the-lord?lang=eng"
"adversity","That Your Joy Might Be Full","Jean B. Bingham","October 2017","https://www.lds.org/general-conference/2017/10/that-your-joy-might-be-full?lang=eng"
"adversity","Do We Trust Him? Hard Is Good","Stanley G. Ellis","October 2017","https://www.lds.org/general-conference/2017/10/do-we-trust-him-hard-is-good?lang=eng"
"adversity","A Yearning for Home","Dieter F. Uchtdorf","October 2017","https://www.lds.org/general-conference/2017/10/a-yearning-for-home?lang=eng"
"adversity","Spiritual Eclipse","Gary E. Stevenson","October 2017","https://www.lds.org/general-conference/2017/10/spiritual-eclipse?lang=eng"
"adversity","“I Have a Work for Thee”","John C. Pingree Jr.","October 2017","https://www.lds.org/general-conference/2017/10/i-have-a-work-for-thee?lang=eng"
"adversity","Fear Not to Do Good","Henry B. Eyring","October 2017","https://www.lds.org/general-conference/2017/10/fear-not-to-do-good?lang=eng"
"adversity","Stand Up Inside and Be All In","Gary B. Sabin","April 2017","https://www.lds.org/general-conference/2017/04/stand-up-inside-and-be-all-in?lang=eng"
"adversity","Becoming a Disciple of Our Lord Jesus Christ","Robert D. Hales","April 2017","https://www.lds.org/general-conference/2017/04/becoming-a-disciple-of-our-lord-jesus-christ?lang=eng"
"adversity","Whatsoever He Saith unto You, Do It","L. Whitney Clayton","April 2017","https://www.lds.org/general-conference/2017/04/whatsoever-he-saith-unto-you-do-it?lang=eng"
"adversity","Songs Sung and Unsung","Jeffrey R. Holland","April 2017","https://www.lds.org/general-conference/2017/04/songs-sung-and-unsung?lang=eng"
"adversity","Don’t Look Around, Look Up!","Yoon Hwan Choi","April 2017","https://www.lds.org/general-conference/2017/04/dont-look-around-look-up?lang=eng"
"adversity","Confide in God Unwaveringly","Ulisses Soares","April 2017","https://www.lds.org/general-conference/2017/04/confide-in-god-unwaveringly?lang=eng"
"adversity","Foundations of Faith","Quentin L. Cook","April 2017","https://www.lds.org/general-conference/2017/04/foundations-of-faith?lang=eng"
"adversity","Our Good Shepherd","Dale G. Renlund","April 2017","https://www.lds.org/general-conference/2017/04/our-good-shepherd?lang=eng"
"adversity","How Does the Holy Ghost Help You?","Gary E. Stevenson","April 2017","https://www.lds.org/general-conference/2017/04/how-does-the-holy-ghost-help-you?lang=eng"
"adversity","Perfect Love Casteth Out Fear","Dieter F. Uchtdorf","April 2017","https://www.lds.org/general-conference/2017/04/perfect-love-casteth-out-fear?lang=eng"
"adversity","Be Ambitious for Christ","Kazuhiko Yamashita","October 2016","https://www.lds.org/general-conference/2016/10/be-ambitious-for-christ?lang=eng"
"adversity","The Master Healer","Carole M. Stephens","October 2016","https://www.lds.org/general-conference/2016/10/the-master-healer?lang=eng"
"adversity","God Shall Wipe Away All Tears","Evan A. Schmutz","October 2016","https://www.lds.org/general-conference/2016/10/god-shall-wipe-away-all-tears?lang=eng"
"adversity","Rise Up in Strength, Sisters in Zion","Bonnie L. Oscarson","October 2016","https://www.lds.org/general-conference/2016/10/rise-up-in-strength-sisters-in-zion?lang=eng"
"adversity","Gratitude on the Sabbath Day","Henry B. Eyring","October 2016","https://www.lds.org/general-conference/2016/10/gratitude-on-the-sabbath-day?lang=eng"
"adversity","There Is Power in the Book","LeGrand R. Curtis Jr","October 2016","https://www.lds.org/general-conference/2016/10/there-is-power-in-the-book?lang=eng"
"adversity","Joy and Spiritual Survival","Russell M. Nelson","October 2016","https://www.lds.org/general-conference/2016/10/joy-and-spiritual-survival?lang=eng"
"adversity","Valiant in the Testimony of Jesus","Quentin L. Cook","October 2016","https://www.lds.org/general-conference/2016/10/valiant-in-the-testimony-of-jesus?lang=eng"
"adversity","And There Shall Be No More Death","Paul V. Johnson","April 2016","https://www.lds.org/general-conference/2016/04/and-there-shall-be-no-more-death?lang=eng"
"adversity","I Am a Child of God","Donald L. Hallstrom","April 2016","https://www.lds.org/general-conference/2016/04/i-am-a-child-of-god?lang=eng"
"adversity","Be Thou Humble","Steven E. Snow","April 2016","https://www.lds.org/general-conference/2016/04/be-thou-humble?lang=eng"
"adversity","Tomorrow the Lord Will Do Wonders among You","Jeffrey R. Holland","April 2016","https://www.lds.org/general-conference/2016/04/tomorrow-the-lord-will-do-wonders-among-you?lang=eng"
"adversity","In Praise of Those Who Save","Dieter F. Uchtdorf","April 2016","https://www.lds.org/general-conference/2016/04/in-praise-of-those-who-save?lang=eng"
"adversity","A Pattern for Peace","W. Christopher Waddell","April 2016","https://www.lds.org/general-conference/2016/04/a-pattern-for-peace?lang=eng"
